year,gdp
1990,5.533454561
1991,1.056831435
1992,5.48239602
1993,4.750776218
1994,6.65892407
1995,7.574491838
1996,7.549522249
1997,4.04982085
1998,6.184415822
1999,8.845755559
2000,3.840991157
2001,4.823966266
2002,3.803975321
2003,7.860381476
2004,7.922936613
2005,7.923430621
2006,8.060732572
2007,7.660815066
2008,3.08669806
2009,7.861888832
2010,8.497584702
2011,5.241315002
2012,5.456388753
2013,6.386106401
2014,7.410227601
2015,7.99625379
2016,8.256305499
2017,6.795383423
2018,6.453851341
2019,3.871436939
2020,-5.831053221
2021,9.050277909
2022,7.239693281
2023,7.6
2024,2.73
